cell,s_start_m,s_end_m,s_centre_m,cell_size_m
190,13351.147636822054,13403.093782318425,13377.12070957024,51.94614549637117
191,13403.093782318425,13455.038000427792,13429.06589137311,51.944218109367284
192,13455.038000427792,13506.980705860984,13481.009353144389,51.942705433191804
193,13506.980705860984,13558.922228425314,13532.95146714315,51.941522564329716
194,13558.922228425314,13610.862829388698,13584.892528907007,51.940600963383986
195,13610.862829388698,13662.802714922485,13636.83277215559,51.939885533787674
196,13662.802714922485,13714.74204709279,13688.772381007639,51.939332170304624
197,13714.74204709279,13766.680952805802,13740.711499949295,51.93890571301199
198,13766.680952805802,13818.61953105461,13792.650241930205,51.93857824880797
199,13818.61953105461,13870.557858763415,13844.588694909013,51.938327708805446
200,13870.557858763415,13922.495995479452,13896.526927121435,51.93813671603675
201,13922.495995479452,13974.43398712303,13948.46499130124,51.937991643577334
202,13974.43398712303,14026.371868971562,14000.402928047297,51.937881848532925
203,14026.371868971562,14078.309668023638,14052.340768497601,51.937799052075206
204,14078.309668023638,14130.247404863823,14104.27853644373,51.93773684018561
205,14130.247404863823,14182.185095127274,14156.216249995548,51.93769026345035
206,14182.185095127274,14234.122750645103,14208.153922886188,51.937655517829626
207,14234.122750645103,14286.060380336305,14260.091565490704,51.93762969120144
208,14286.060380336305,14337.99799089934,14312.029185617823,51.93761056303447
209,14337.99799089934,14389.93558734617,14363.966789122755,51.93759644683087
210,14389.93558734617,14441.873173412869,14415.90438037952,51.937586066698714
211,14441.873173412869,14493.810751874043,14467.841962643455,51.93757846117478
212,14493.810751874043,14545.7483247826,14519.779538328323,51.93757290855683
213,14545.7483247826,14597.685893651818,14571.71710921721,51.93756886921801
214,14597.685893651818,14649.62345959306,14623.654676622438,51.9375659412417
215,14649.62345959306,14701.561023419505,14675.592241506281,51.9375638264446
216,14701.561023419505,14753.498585723935,14727.52980457172,51.937562304430685
217,14753.498585723935,14805.436146936889,14779.467366330413,51.93756121295337
218,14805.436146936889,14857.373707369909,14831.404927153399,51.937560433019826
219,14857.373707369909,14909.311267247593,14883.34248730875,51.93755987768418
220,14909.311267247593,14961.248826731276,14935.280046989436,51.9375594836838
221,14961.248826731276,15013.18638593642,14987.217606333848,51.93755920514377
222,15013.18638593642,15065.12394494534,15039.15516544088,51.93755900892029
223,15065.12394494534,15117.061503816534,15091.092724380938,51.93755887119369
224,15117.061503816534,15168.999062591389,15143.030283203962,51.93755877485455
225,15168.999062591389,15220.936621299103,15194.967841945247,51.93755870771383
226,15220.936621299103,15272.874179960185,15246.905400629643,51.93755866108222
227,15272.874179960185,15324.811738589,15298.842959274592,51.93755862881517
228,15324.811738589,15376.749297195565,15350.780517892283,51.93755860656529
229,15376.749297195565,15428.68685578684,15402.718076491203,51.937558591274865
230,15428.68685578684,15480.624414367649,15454.655635077244,51.9375585808084
231,15480.624414367649,15532.561972941316,15506.593193654482,51.93755857366705
232,15532.561972941316,15584.499531510126,15558.53075222572,51.937558568810346
233,15584.499531510126,15636.43709007565,15610.468310792887,51.93755856552343
234,15636.43709007565,15688.37464863895,15662.405869357299,51.93755856330063
235,15688.37464863895,15740.312207200757,15714.343427919854,51.937558561807236
236,15740.312207200757,15792.249765761564,15766.28098648116,51.93755856080679
237,15792.249765761564,15844.187324321703,15818.218545041633,51.93755856013922
238,15844.187324321703,15896.124882881399,15870.156103601552,51.93755855969539
239,15896.124882881399,15948.062441440798,15922.093662161098,51.937558559398894
240,15948.062441440798,16000.0,15974.031220720399,51.937558559202444
